-1.00   00.00    0.0
-0.96   -0.28    0.0
-0.89   -0.45    0.0
-0.82   -0.57    0.0
-0.68   -0.73    0.0
-0.55   -0.83    0.0
-0.41   -0.91    0.0
-0.27   -0.96    0.0
-0.14   -0.99    0.0
00.00   -1.00    0.0
 0.14   -0.99    0.0
 0.27   -0.96    0.0
 0.41   -0.91    0.0
 0.55   -0.83     0.0
 0.68   -0.73    0.0
 0.82   -0.57    0.0
 0.89   -0.45    0.0
 0.96   -0.28    0.0
 1.00   00.00    0.0
 0.96    0.28    0.0
 0.89    0.45    0.0
 0.82    0.57    0.0
 0.68    0.73    0.0
 0.55    0.83    0.0
 0.41    0.91    0.0
 0.27    0.96    0.0
 0.14    0.99    0.0
 0.00    1.00    0.0
-0.14    0.99    0.0
-0.27    0.96    0.0
-0.41    0.91    0.0
-0.55    0.83    0.0
-0.68    0.73    0.0
-0.82    0.57    0.0
-0.89    0.45    0.0
-0.96    0.28    0.0
-1.00    0.00    0.0
